企業名,勤務地,給与,初年度年収
株式会社ストリームメディアコーポレーション ,★転勤なし ★『六本木一丁目駅』直結のグランドタワー勤務 ★リモートワーク実施中 ◆本社 東京都港…,◆月給30万円〜60万円 ☆前職の給料を最大限に考慮します！ ※上記月給には月40時間分の見込残業代含(75…,360万円～700万円
株式会社ビッグウイング ,本社(大阪)ならびに関東営業所(神奈川)で同時募集！ 【希望以外の転勤なし／最寄り駅から徒歩10分…,月給24万〜28万円 + 諸手当 + 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたし…,初年度年収のデータなし
株式会社ベル建築研究所 ,【転勤なし／U・Iターン歓迎】 東京本社 東京都杉並区阿佐谷南3-31-14 モリタビルディング2…,【東京本社】 月給22万円〜55万円 ＋ 時間外手当 ＋資格手当 【福岡支社】 月給35万円〜70万円 ＋ 時間…,310万円～770万円
株式会社i-NOS ,【UIターン歓迎／WEB面接もOK／面接基本1回】 首都圏（東京都、千葉県、埼玉県、神奈川県）のプ…,月給24万円以上＋残業代全額支給＋技能手当＋賞与年2回 ※情報技術者資格をお持ちの方は、ランクにより最…,350万円～518万円
株式会社不動金属工業所 ,◎在宅勤務をメインとして、打ち合わせがあるときには関東エリアのお客さま先に直行直帰です ＜勤務地に…,"【未経験者の場合】 ◆月給：22万5,000円以上＋諸手当 【経験者の場合】 ◆月給：25万円以上＋諸手当 …",350万円～600万円
株式会社テラソフト ,【2020年12月に新オフィスへ移転！】 本社(水戸市)・東京センター(台東区)、または茨城、東京…,月給：30万円〜60万円　※前職給与を最大限考慮いたします！ ＜月収例＞ 月給：35万円（入社3年目・交通…,400万円～750万円
セコムトセック株式会社 ,【UIターン歓迎】 三重事業所／三重県三重郡朝日町大字縄生2121 ※マイカー通勤可能 ＼ 選べる…,月給：16万円〜 + 各種手当 ＋ 賞与年2回 【年収例】 400万円（入社1年目／30歳／業界・職種未経験者） …,初年度年収のデータなし
株式会社Clans ,【転勤なし／渋谷勤務！／リモートワークOK！】 ★東京でスグ勤務できる方、歓迎！ 本社／東京都渋谷…,月給25万円以上 ※能力・経験を考慮の上、決定いたします。 ※上記には、固定残業代（5万9600円〜、40時…,300万円～400万円
株式会社DEGICA ,【吉祥寺駅チカ徒歩7分！リモートワークも実施中】 東京都武蔵野市吉祥寺本町2丁目5番10号 いちご…,月給50万円以上+諸手当 ※経験・スキルなどを考慮し、決定いたします。 ※試用期間3ヶ月あり（その間の…,600万円～800万円
株式会社エンシア ,アクセス抜群！『西新宿駅』徒歩2分／『新宿駅』徒歩8分 ＊転勤はありません。 【本社】 東京都新宿…,月給:21万円〜＋インセンティブ＋各種手当 ※経験・スキルを考慮して決定します。 ※固定残業代（月30時…,270万円～350万円
株式会社メック ,＊アクセス抜群！『水道橋駅』徒歩2分＊ ☆転勤はありません ☆時差出勤導入 ☆テレワーク応相談 【…,月給:25万円〜35万円 ＋ 各種手当 ＋ 賞与2回（昨年実績3カ月分）＋決算賞与（※業績による） ※年齢、…,350万円～500万円
株式会社アレグロマジック ,大阪本社／ 大阪府大阪市中央区南久宝寺町2-6-7 SOUTENビル 4F 【交通アクセス】 地下…,月給40万円以上＋諸手当＋賞与年2回 ※経験、能力などを考慮の上、規定により決定します ※試用期間最大…,480万円～600万円
株式会社アレグロマジック ,【「赤坂駅」より徒歩2分！その他複数路線利用可能な好立地】 東京支社／東京都港区赤坂2-14-5…,◆経験者：月給40万円以上＋諸手当＋賞与年2回 ◆未経験：月給28万円以上＋諸手当＋賞与年2回 ※経験、…,350万円～600万円
株式会社MADO ,＜地下鉄：呉服町駅から１分！転勤なし＞ 福岡市博多区店屋町８-27 goodoffice呉服町 ４…,月給／22万円〜26万円＋諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細について…,初年度年収のデータなし
株式会社T2Lab ,★初台駅より徒歩5分／新宿駅も徒歩圏内！ ★転勤なし！ 〈西新宿オフィス〉 東京都新宿区西新宿3-…,"〈月給〉250,000円 〜 420,000円 ※経験・スキルを最大限に考慮して優遇します。 ※試用期間3ヶ月あり。…",340万円～640万円
株式会社ユビレジ ,東京本社 〒151-0051 東京都渋谷区千駄ヶ谷3-59-4 クエストコート原宿 ※リモートワー…,"月給　　　：291,667円〜458,334円 基本給　　：252,674円〜397,059円 固定残業代：38,993円〜61,275円 …",350万円～550万円
株式会社ランド ,大阪府堺市西区鳳東町7-822　光大ビル303号 ⇒JR阪和線「鳳駅」徒歩6分 ※マイカー通勤応相談,実務経験あり：月給25万円〜45万円 実務経験なし：月給20万円〜35万円 ※上記には、固定残業代として 実…,315万円～710万円
株式会社アドウェイズ・フロンティア ,本社：札幌市中央区大通西6丁目10-1 大通西6ビル6階 ※転勤はありません。 ※新型コロナウイル…,月給：16万円〜24万円 ※試用期間3ヶ月あり（同条件） ※上記金額には固定残業代2万2000円〜3万3000円…,192万円～288万円
株式会社ブレーンネット ,【「京都市役所前」駅より徒歩3分のオフィス】 京都市中京区寺町通り御池上る上本能寺前町474 日宝…,月給25万円〜35万円 (一律手当含む) ※経験・年齢・能力を考慮し、当社規定により決定します。 ※試用期…,350万円～500万円
トライアロー株式会社 ,近畿一円（大阪・兵庫・京都・滋賀）の各プロジェクト先 ※居住地と希望勤務地を考慮します。 ※転居を…,月給26万円〜42万円 ※経験、スキルを考慮の上、当社規定により決定します。 ※上記には固定残業代（3万3…,420万円～600万円
株式会社ICSソリューションズ ,★本町駅から徒歩2分！駅チカでキレイなオフィス★ U・Iターン歓迎！ 本社／大阪府大阪市中央区本町…,◇月給18万5000円〜26万7000円＋各種手当＋賞与年2回 試用期間について ・3〜6ヶ月の試用期間があります…,300万円～400万円
株式会社GA INC ,【転勤なし／アクセス◎】 ☆リモートワークも導入！ 東京都港区赤坂9丁目5番15号 〜アクセス〜…,◆年俸制400万円以上 ※経験、能力などを考慮し、決定いたします。 ※試用期間3ヶ月あり。（期間中、待…,400万円～800万円
株式会社キーワーズ・インターナショナル ,★転勤なし ★九段下駅から徒歩6分の好立地です！ ★一時的に在宅勤務、テレワークも可能です。 東京…,年俸600万円〜800万円 月収例：50万円〜67万円 ※あなたの経験・スキルを考慮して決定いたします。 イン…,600万円～800万円
株式会社アディコム ,＊---アクセス抜群！『大宮駅』徒歩5分---＊ 【本社】 埼玉県さいたま市大宮区下町2-18　T…,"月給:254,766円〜 ※スキル・経験を考慮して、当社規定により決定します。 ※みなし残業代（月45時間分…",300万円～400万円
株式会社メイツ中国 ,《U・Iターン歓迎！》 ■広島本社 広島県広島市中区胡町4-21 朝日生命広島胡町ビル ◎「胡町駅…,月給22万円 〜 30万円 +諸手当＋賞与年2回 ※経験を考慮の上、当社規定により優遇いたします。 ※試用期…,350万円～450万円
安藤株式会社 ,大阪府大阪市西区新町4-9-20 【アクセス】 Osaka Metro千日前線・長堀鶴見緑地線「西…,"月給220,000円以上 ※上記給与には固定残業代を含む（月20時間分／25,000円※超過分は別途支給） ※残業…",初年度年収のデータなし
株式会社イズマサ ,≪転勤なし／マイカー通勤ＯＫ≫ 福岡支店／福岡市東区箱崎ふ頭5-8-26 ※U・Ｉターン歓迎 ※研…,月給23万円〜27万円　+　諸手当 ※上記はあくまで最低保証額です。年齢、経験、能力を考慮の上、優遇し…,初年度年収のデータなし
日本コンセントリクス株式会社 ,★転勤なし ★天神駅徒歩11分＆中洲川端駅直結の好立地！ 【勤務地詳細】 福岡県福岡市博多区上川端…,月給／24万7200円〜 + シフト手当 + 残業手当 ※経験・能力・スキル等を考慮し、決定します。 ※試用（…,初年度年収のデータなし
住友生命保険相互会社 ,＼赤羽駅から徒歩1分／ 【住友生命保険相互会社　東京北支社　新都北支部】 東京都北区赤羽西1-7-…,月給 23万〜35万円 ※上記には固定残業代【15時間相当額(2.7万円〜4.2万円)】が含まれます ※15時間を超…,初年度年収のデータなし
金田会計事務所 ,◎転勤なし！ ◎Osaka Metro「本町」駅より徒歩4分 《住所》大阪府大阪市中央区安土町3-…,月給23万円〜35万円（一律手当）＋ 諸手当 ＋ 賞与（年2回） ※経験・能力を考慮の上、 　当社規定によ…,初年度年収のデータなし
株式会社ドリームジャック ,【駅チカ！「西中島南方駅」「新大阪駅」 「南方駅」嬉しい3路線から通勤可能！】 ※直行直帰もOK！…,"月給27万円〜 ＋ 諸手当 ＋ インセンティブ ※上記は最低保証金額です ※固定残業代(20時間相当、3万6,8…",初年度年収のデータなし
株式会社ICE ,【通勤手当（月3万まで）・転勤なし】 ★「池袋駅」徒歩3分 ★営業交通費は全額支給 ■本社／東京都…,■月給24万円〜50万円 ※経験や能力を考慮して決定します ※みなし残業手当（30時間分・4万円〜）を含む…,300万円～600万円
株式会社日本海事新聞社 ,★「新橋」「汐留」「御成門」「大門」の4駅からアクセス◎ ★賞与25年以上連続支給中 本社 東京都…,月給23万円〜 ＋賞与年2回(4ヵ月分／昨年度実績) ★経験・能力を考慮して優遇いたします。 ★時間外労働…,350万円～450万円
株式会社リクルート北関東マーケティング ,◎勤務地は希望を考慮して決定いたします。 ◎転勤なし ■スーモカウンター注文住宅 イオンモール太田…,月給21万7585円以上 ＊＊＊ ※経験・スキル・年齢を考慮の上、決定します。 ※原則として入社後6カ月間…,300万円～350万円
株式会社重松商事 ,【転勤なし／直行直帰もOK！】 本社／東京都港区赤坂2-12-21　ディアシティ赤坂西館5階 ※ク…,月給25万円〜30万円＋賞与年最大3回＋諸手当 ※経験・年齢・前職給与を考慮の上、当社規定により優遇しま…,350万円～500万円
株式会社リクルート北関東マーケティング ,群馬(高崎/太田)・栃木(宇都宮)・茨城(水戸/つくば)・新潟(新潟)のいずれかの各拠点 ※将来的…,"月給23万9,470円以上 + 達成インセンティブ ★未経験でも高収入スタート！ --------------------------…",350万円～450万円
株式会社コネクテッド ,【リモートワーク！】【転勤なし】【直行・直帰可】 ※ノートPC(リモート用ツール導入済)と社用携帯…,月給25万円〜50万円＋決算賞与(業績により支給) ※経験・スキルを考慮のうえ、決定します ※固定残業代5…,325万円～600万円
株式会社Globee ,◎ リモートワークでの勤務となります。 ◎ 転勤なし！ 【本社について】 ▽ 住所 東京都港区東麻…,月給22万円以上 ＋ 賞与年2回（基本給4ヶ月分）＋ 諸手当 ※ 経験・スキル・前職の給与などを考慮し、決…,350万円～399万円
株式会社Globee ,◎ リモートワーク推奨 ◎ 転勤なし 【本社について】 ▽ 住所 東京都港区東麻布1-7-3 第二…,月給24万円以上 ＋ 賞与年2回（基本給4ヶ月分）＋ 諸手当 ※ 経験・スキル・前職の給与などを考慮し、決…,360万円～600万円
株式会社コネクテッド ,【リモートワーク勤務！】【転勤なし】【直行・直帰可】 ※ノートPC(リモート用ツール導入済)と社用…,月給25万円〜50万円＋決算賞与(業績により支給) ※経験・スキルを考慮のうえ、決定します ※固定残業代5…,325万円～600万円
株式会社綜合デザイン ,【東京別館】 東京都渋谷区千駄ヶ谷5-10-9 更生保護会館2F ※転勤はありません,月給22万円以上 ※経験・能力などを考慮し決定します ※試用期間6ヶ月（期間中の給与・待遇に差異はあり…,300万円～400万円
株式会社Point ,＼＼地下鉄駅チカ・引越し費用補助／／ 北海道札幌市中央区南1条東3丁目10-6 TAISEIビル…,"月給／240,000円〜375,000円(残業代含めず) ※経験・年齢を考慮の上、当社規定により優遇いたします。 …",330万円～520万円
マース・アンド・コー・コンサルティング・ジャパン有限会社 ,東京都千代田区麹町1-7-25 フェルテ麹町ビル6F ※転勤なし ※プロジェクトに応じて、海外およ…,年棒制／年棒500万円〜 ※経験・能力を考慮の上、当社規定により決定します。 ※上記には、一律手当を含…,初年度年収のデータなし
有限会社林電気設備 ,【マイカー通勤可／交通費全額支給】 ★現場への直行直帰も可能です！ご相談ください。 調布営業所／東…,【経験者】月給30万円〜＋各種手当＋賞与 ※希望の給与や休みをぜひお聞かせください。 ※今までの経験を…,450万円～650万円
株式会社CYLOOK ,【転勤なし／駅近オフィス】 東京都港区六本木四丁目2-45 高會堂ビル2階 〜アクセス〜 ・各線『…,月給25万円〜50万円 ※経験・スキルなどを考慮のうえ、決定いたします。 ※固定残業代（25時間分／5万円…,300万円～650万円
株式会社レクストカスタマーサービス ,【大阪府】 大阪府大阪市東成区中本3-10-6 緑橋REGATEビル 【神奈川県】 神奈川県 横浜…,月給26万5000円以上＋賞与 【備考】 ※経験・能力により優遇します。 ※固定残業代（5万300円／40時間）…,350万円～420万円
株式会社クラウディオプログレス ,★転勤なし！ ★自分の好きな街で働きたい方やU・Iターンも特に歓迎します！ ★在宅勤務となりますの…,月給／30万円〜 ※経験・能力・スキル等を考慮し、決定します。 ※試用期間6ヶ月（期間中の待遇に変動な…,360万円～800万円
株式会社カーネルジャパン ,【転居を伴う転勤なし】 ◆東京または首都圏(千葉/神奈川/埼玉)の各プロジェクト先 ◎新宿オフィス…,月給18万円〜80万円 + 成果給 + 各種手当 ★頑張りに応じて随時昇給するシステム。 　新しいスキルをみ…,200万円～700万円
株式会社いつも. ,《＊転勤なし＊東京本社勤務》 東京都千代田区有楽町1-12-1 新有楽町ビル7階 ≪アクセス≫ J…,月給：25万円〜36万円＋賞与2回 ※固定残業代を含む ※経験・能力を考慮の上、決定します。 固定残業代…,350万円～500万円
日本ダグラスラボラトリーズ株式会社 ,【転勤なし／U・Iターン歓迎】 ◆東京本社／東京都港区台場2-3-2 台場フロンティアビル2階 ※…,"月給25万5,000円＋資格手当 ※当社規定の資格保有により決定いたします。 ※試用期間6ヶ月あり（期間中の…",300万円～500万円
株式会社IKIDANE ,【在宅勤務】または【東京都内の宿泊施設】 ※転居を伴う転勤はありません。 ＜現地勤務予定地＞ ・浅…,月給23万円以上＋賞与（年２回） ※年齢、経験等を考慮の上、優遇いたします。 ※試用期間（3カ月）あり…,320万円～450万円
株式会社アックスコンサルティング ,《転勤なし／恵比寿駅よりすぐ》 ◎週2〜3日のペースでリモートワーク可能！ ◆東京本社／東京都渋谷…,月給25万円以上 *＼経験者は前職の給与を保証します／* ※経験・年齢・前給を考慮のうえ、当社規定によ…,350万円～500万円
株式会社Moff ,【転勤なし！】 ◎リモートワークで基本は取り組んでいただきます。 （出荷作業や在庫管理などで月4〜…,"月給：300,000円以上＋各種諸手当 ※これまででの経験やスキルを最大限考慮し、 　決定いたします。 ※月…",360万円～400万円
株式会社ルイーダアカデミー ,本社 〒101-0041 東京都千代田区神田須田町1-3-9　PMO神田万世橋8階 ◎リモートワー…,月給：23万円〜50万円 ※経験、年齢を考慮のうえ決定します。 ※固定残業代（3万円〜/月20時間分含む） …,300万円～500万円
旭トステム外装株式会社 ,【全国転勤有り】 長野県長野市、大阪府大阪市にあるいずれかの支店に配属。 ※各営業エリアへ直行直帰…,■月給 21万円〜 + 諸手当（時間外手当・交通費など） + 賞与 ※経験を考慮して、当社規定により優遇致…,400万円～550万円
オーディー株式会社 ,港区または江東区の拠点で活躍。 ※希望を考慮のうえ決定します。 【本社】 東京都港区西新橋2-22…,月給：20万円〜31万円 ＋ 各種手当 ※経験、年齢を考慮のうえ決定します。 ※収入UPを叶えた先輩多数！ …,300万円～500万円
ジェンスクリプトジャパン株式会社 ,＜神田駅徒歩5分・転勤なし・自社ビル＞ 本社／東京都千代田区神田東松下町48 ism神田4F ＜ア…,年俸600万円〜（各種一律手当含む） ※スキル・経験・年齢を考慮の上優遇します。 ※試用期間3カ月（待…,600万円～800万円
株式会社スマートプラネット ,【東京での募集】 ★リモートワーク導入中！ ★オープンオフィスで働けます 東京都港区港南2-16-…,月給30万円〜 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヶ月（待遇に変動なし）,初年度年収のデータなし
HAIRCAMP株式会社 ,【転勤なし／「外苑前駅」徒歩2分／リモートワーク可】 東京都港区南青山2-22-2 KS南青山3F,月給23万円〜60万円+能力給+賞与+教育手当 ※年齢・経験・スキルなどを考慮の上、決定します。,300万円～700万円
株式会社グラングレス ,【リモートワーク】 ご自宅を拠点に効率よく営業活動できます。 【本社】 東京都渋谷区桜丘町26-1…,月給25万円以上＋毎月のインセンティブ+賞与年2回 ※スキルや経験を考慮の上、決定します ※試用期間は…,400万円～700万円
ＣＭＡ株式会社 ,【 リモート勤務 】 ※全国どこでもOK ※在宅によるリモートワークが基本となります。 必要時ユー…,月給25万円〜55万円 ※経験・年齢を考慮し当社規定で優遇いたします。 ※試用期間は2ヶ月あります。（待…,350万円～700万円
株式会社IKIDANE ,【本社】 東京都港区高輪4-23-5　品川ステーションビル 10階,月給27万円〜45万円＋賞与（年2回） ※年齢、経験等を考慮の上、優遇いたします。 ※試用期間（3カ月）あ…,350万円～650万円
株式会社SJP ,【転勤なし／「渋谷・原宿・表参道」近くのオフィス】 東京都渋谷区神宮前5丁目42-17-102 【…,月給23万〜40万円 ※経験・能力・スキルを加味して、前給考慮の上、会社規定により決定します。 ※試用…,300万円～500万円
株式会社イロタス ,★直行直帰OK ★転勤はありません 【本社】 東京都千代田区岩本町3-7-13 早川ビル1階 【ア…,"月給25万円〜30万円 ※経験・能力を考慮の上、当社規定により決定します。 ※上記には月30時間分（4万7,…",300万円～550万円
ウィルメディア株式会社 ,東京都港区新橋2丁目12番1号　ランディック第3新橋ビル7F ◎状況に合わせてリモートワークも可能…,月給30〜50万円＋決算賞与年1回＋交通費（上限5万円/月） ※経験・スキル等を考慮し面談の上、決定いた…,400万円～600万円
株式会社KEIアドバンス ,★東京・九州での募集となります。いずれも駅チカ！★ 【東京本社】 東京都千代田区麹町3-2　ヒュー…,月給25万円以上 ＋ 時間外勤務手当全額支給 ※経験・能力を考慮して決定いたします。,400万円～550万円
株式会社ギャツビー ,本社：東京都港区西麻布3-2-1北辰ビル6F アクセス ・六本木駅より徒歩4分 ・千代田線乃木坂駅…,月給25万円〜 + 賞与年4回 ※業績・評価による ※経験・能力・前職条件に応じて決定。 ※試用期間6ヶ月…,300万円～450万円
株式会社アックスコンサルティング ,《転勤なし／恵比寿駅よりすぐ／ほぼフルリモートOK》 ◆東京本社／東京都渋谷区恵比寿1-19-15…,月給25万円以上 *＼経験者は前職の給与を保証します／* ※経験・年齢・前給を考慮のうえ、当社規定によ…,350万円～500万円
エル・エル・ビーン・インターナショナル ,日本支社 東京都武蔵野市吉祥寺南町1-16-3 【アクセス】 JR中央線「吉祥寺」駅徒歩2分 ※現…,年俸 400万円〜 ※経験・スキルを考慮の上、当社規定により優遇します。 ※月々1/12ずつ支給します。 ※…,初年度年収のデータなし
株式会社cocoloni ,【本社】 東京都港区赤坂9-7-1　ミッドタウンタワー23F ※コロナウイルス感染拡大に伴い、現在…,月給25万円〜33万円 ※前職での経験やスキルなどを考慮の上、月給を決定いたします。 ※上記金額にはみな…,初年度年収のデータなし
有限会社ソフトスタジオ ,＼転勤なし／＼UIターン歓迎／ ◇ 鹿児島県鹿児島市草牟田2丁目9-1 正栄ビル2F,月給18万6000円〜35万円 ＜モデル例＞ ・月収32万円（月給＋諸手当）／32歳 ・月収27万円（月給＋諸手…,初年度年収のデータなし
株式会社ライズテック ,《在宅勤務実施中！》本社またはプロジェクト先(東京都内中心)での勤務となります。 ◆本社／東京都中…,月給30万円〜45万円 ※経験やスキル、前職時の給与を考慮した上で決定します。 【モデル月収】 ・28歳／…,450万円～650万円
株式会社チーム・エムツー ,★転勤なし ★昨年8月に移転したばかりの綺麗なオフィスです ＜アクセス＞ 東京メトロ東西線・半蔵門…,月給28万円〜40万円（一律手当含む） ※試用期間3ヶ月（その間の待遇の変更なし）,350万円～600万円
株式会社チーム・エムツー ,★転勤なし ★昨年8月に移転したばかりの綺麗なオフィスです ＜アクセス＞ 東京メトロ東西線・半蔵門…,月給28万円以上（一律手当含む）＋実績給 ※試用期間3ヶ月（その間の待遇の変更なし） ※制作実績に応じ…,330万円～500万円
北話エンジニアリング株式会社 ,◆転勤なし！ 観法寺ビル：石川県金沢市観法寺町ろ11番地 ※マイカー通勤可／社員専用無料駐車場完備,"月給17万3,000円〜24万8,050円 ※年齢・経験・能力を考慮のうえ決定します 【モデル月収】 月収19万円／…",250万円～350万円
Network Engineering株式会社 ,◆転勤なし ◆UIターン歓迎 ■鹿児島県鹿児島市西千石町1-32 Wビルディング西千石町9階,月給19万円〜26万円（一律手当含む） ※経験・能力を考慮致します。 ※5ヶ月目から給与査定を随時実施（…,初年度年収のデータなし
株式会社EnjoyLifeCompany ,本社（福岡市）もしくは鹿児島支社（鹿児島市） ※転居を伴う転勤はありません ※マイカー・バイク・自…,月給20万円〜45万円＋インセンティブ＋賞与年2回 ※経験・能力を考慮して決定いたします ※上記には月40…,初年度年収のデータなし
株式会社インコス ,＜転居を伴う転勤はありません/テレワーク導入中！＞ ◆本社 東京都新宿区西新宿7-21-1新宿ロイ…,月給23万〜55万円 ※経験・能力を考慮の上、決定します。 ※試用期間3ヶ月あり/期間中月給：23万円〜（経…,270万円～320万円
株式会社西條設計コンサルタント ,【転勤なし/UIターン歓迎！マイカー通勤OK(無料駐車場あり)】 宮城県石巻市桃生町中津山字内八木…,<経験者> 月給21万円〜40万円 + 通勤手当＋資格手当＋役職手当+時間外手当 ※下限は経験年数2年以上の求…,250万円～600万円
株式会社グッピーズ ,★転勤なし ★新宿駅直結！ ★新宿駅より徒歩5分／都庁前駅より徒歩2分 〈東京本社〉 東京都新宿区…,〈月給〉25万円〜35万円 + 賞与年4回（インセンティブ） ※経験・能力等を最大限に考慮し、話し合いのう…,305万円～510万円
株式会社ストラテジックディシジョン ,【転勤なし／新橋駅直結ビルに勤務】 東京都港区新橋2-20-15　新橋駅前ビル1号館6階　ビズステ…,月給35万円〜40万円＋インセンティブ＋賞与 ※経験・スキル・年齢を考慮し、当社規定により決定します。…,450万円～1000万円
株式会社クオリア・リンクス ,★転勤なし★新オフィスに移転！ 本社／東京都中央区築地2丁目1番16号　STRADA GINZA…,"経験者：月給50万円以上＋諸手当（交通費全額支給、資格手当、報酬金制度など） 未経験者：月給19万5,00…",600万円～950万円
株式会社ECホールディングス ,【本社】 東京都目黒区青葉台3-1-19　青葉台石橋ビル6F ＊転居を伴う転勤はありません。,"月給25万円以上＋各種手当＋賞与 ※経験・スキルを考慮して決定します ※みなし残業代（30時間分/45,621…",350万円～450万円
株式会社HOIPOI ,【リモートワーク推進中です！】 【「横浜駅」きた西口から徒歩4分】 神奈川県横浜市神奈川区鶴屋町2…,"月給37万5,000円以上＋賞与年4ヶ月 ※経験、能力などを考慮したうえ、当社規定により優遇いたします ※…",600万円～800万円
さくら税理士法人 ,■茨木市西駅前町5-1　京都銀行茨木ビル5F ★ビルは駅チカでオフィス内は日本料亭をイメージした、…,■月給33万円以上+賞与3ヶ月分 ※経験・スキル・前職の給与等を考慮の上、決定します。,500万円～700万円
アーバンシステム株式会社 ,【転居を伴う転勤はありません！】 ★東京都内・埼玉県内を中心とした各物件へ直行直帰となります。 ■…,月給24万円以上＋各種インセンティブ+各種手当 ※経験・スキルにより考慮します。 ※固定残業代（6万円以…,350万円～460万円
株式会社AZEAL BRANDING ,★転勤なし／UIターン歓迎 【本社】 東京都渋谷区渋谷2-4-6　野村ビル2F ＜交通アクセス＞…,月給23万円以上＋インセンティブ＋達成金 ※経験・年齢を考慮の上、決定いたします。 ※試用期間1〜6ヵ月…,300万円～1000万円
岡本株式会社 ,【本社】 大阪府大阪市西区西本町1-11-9 ※転勤はありません。 ※U・Iターン歓迎します。 ※…,月給18万5000円〜27万7000円 ※能力や経験などを考慮して決定します。 ※17時45分以降残業した場合は、…,初年度年収のデータなし
株式会社創新社 ,★転勤なし ★リモートワーク(在宅勤務)実施中！ ★新橋駅・虎ノ門・内幸町より好アクセス！ 東京都…,◆月給25万円〜40万円＋諸手当＋賞与 ※経験・能力・前職給与を最大限考慮のうえ決定します。 ※上記金額…,400万円～600万円
税理士法人NEXPERT ,＜転勤なし ★駅チカ・アクセス良好★ スタイリッシュなNEWオフィス＞ ◎本社 東京都渋谷区神宮前…,■業界経験者：月給35万円〜75万円 ■その他（未経験者含む）：月給23万円〜45万円 ※経験・能力を考慮…,300万円～800万円
株式会社 Step House ,■東京都渋谷区渋谷2丁目-1-12 VORT AOYAMA 2 7F 【アクセス】 JR山手線他『…,■経験者：月給35万〜45万円 ☆月給45万円以上も可能！ ※ご経験・前職の給与等を考慮して決定します。,500万円～600万円
アミタホールディングス株式会社 ,本社：京都市中京区烏丸通押小路上ル秋野々町535番地 日土地京都ビル2階,"月給：32万円〜37万2,800円 ＜月給例＞ ・中規模企業での経理経験5年〜10年：月給320,000円 ・上場企業…",480万円～560万円
株式会社山蝶 ,【転勤なし／自社ビル／吉祥寺駅徒歩6分】 本社／東京都武蔵野市吉祥寺本町1丁目37番5号 山蝶ビル…,月給：30万円〜 + インセンティブ ※年齢・経験等を考慮し、当社規定により優遇します ※上記金額には固…,400万円～650万円
有限会社セラリンク ,※原則、100%リモートワークです。 ※プロジェクトの所在地は大阪市内を中心に、関西圏全域に渡りま…,月給21万円以上 ■経験者 経験・能力により優遇します（前職給以上を保証します）。,300万円～600万円
株式会社アレックス ,【本社】東京都北区西ケ原1-46-13 横河駒込ビル1F （アクセス） 東京メトロ「西ケ原駅」より…,経験者：月給25万円〜 未経験者：月給20万円〜 ※経験・年齢を考慮の上、当社規定により優遇します。 ※…,270万円～500万円
トライアロー株式会社 ,【 通勤可能範囲/転勤なし 】 名古屋市内、三河エリア(刈谷、豊田、岡崎、安城)、三重、岐阜 、静…,【 月給28万円以上＋残業手当＋その他手当 】 ※上記金額は月20時間分の 　固定残業代（月3万2000円以上…,380万円～600万円
株式会社経理チームみやざき ,★働き方が選べます！ 希望に応じて、リモートワークもできますし、 オフィス出社も可能です。 あなた…,月給25万円〜40万円 + 諸手当　 ※年齢、経験、能力を考慮の上、優遇します。 ※最長6ヶ月間の試用期間あ…,300万円～480万円
