企業名,勤務地,給与,初年度年収
株式会社ハゴロモ ,★神田駅より徒歩5分の好立地です。 東京都千代田区内神田1-10-8 ＜アクセス＞ JR線・東京メ…,月給24〜27万円＋賞与年3回 ※経験・年齢を考慮の上、当社規定により優遇します。,350万円～380万円
万田発酵株式会社 ,《転勤なし／U・Iターン歓迎！》 広島本社／広島県尾道市因島重井町5800-95 受動喫煙対策：屋…,月給20万円〜30万円 ＋ 諸手当 ＋ 賞与（年2回） ※経験・能力を考慮の上、決定いたします ※試用期間あ…,350万円～500万円
株式会社sizebook ,東京都港区海岸3-18-1 ピアシティ芝浦ビル10階 ※転勤なし ※リモートワーク可,"月給 400,000円〜600,000円 ※月給には固定残業手当を含みます 126,600円〜189,900円（固定残業時間60時…",480万円～720万円
株式会社シロ ,東京本社勤務になります。 東京都港区北青山3-6-7 青山パラシオタワー9F 表参道駅B5出口直結…,"月給252,500円〜(以下一律手当を含む) 基本給：235,000円〜 固定残業手当：17,500円〜（固定残業時間10時…",400万円～1200万円
株式会社フォーサム ,本社、もしくは東京都内のお客様先 【本社】 東京都千代田区内神田3-13-4 東陽ビル2F JR山…,"【月給】23万5,000円〜40万5,000円 ※残業代別途全額支給 ※上記には一律支給の食事手当5,000円を含む …",350万円～600万円
株式会社シロ ,東京本社勤務になります。 東京都港区北青山3-6-7 青山パラシオタワー9F 表参道駅B5出口直結…,"月給350,000円〜(以下一律手当を含む) 基本給：332,500円〜 固定残業手当：17,500円〜（固定残業時間10時…",600万円～1200万円
株式会社シロ ,東京本社勤務になります。 東京都港区北青山3-6-7 青山パラシオタワー9F 表参道駅B5出口直結…,"月給250,000円〜(以下一律手当を含む) 基本給：232,500円〜 固定残業手当：17,500円〜（固定残業時間10時…",400万円～1200万円
株式会社環境科学設計 ,【 マイカー通勤可 】 岡山支店（岡山市南区）または本社（倉敷市）に配属。 ◆岡山支店 岡山市南区…,"月給 200,000円〜400,000円 ＋ 資格手当30,000円 + 他手当 ※上記はあくまでも最低保証です ※年齢、経…",400万円～600万円
株式会社環境科学設計 ,【 マイカー通勤可 】 岡山支店（岡山市南区）または本社（倉敷市）に配属。 ◆岡山支店 岡山市南区…,"月給200,000円〜400,000円＋諸手当 ※上記はあくまでも最低保証です ※年齢、経験、能力を考慮の上、優…",300万円～600万円
株式会社RETRY ,【転勤なし】 本社／東京都港区三田3-3-8 TAMA WOODY GATE MITA 4階 ※多…,【月給】 28万円〜40万円 ※固定残業代含む（45時間分/7万245円〜10万350円） ※超過分は別途支給。 ※試…,350万円～600万円
RFA digital brains株式会社 ,※現在、週2出社、週3リモートワークを行っています。 経験・スキルに応じてご相談の上、フルリモート…,◆年俸制600〜900万円 ☆★経験者の方は前給を考慮します！★☆ ※12分割した金額を毎月支給いたします…,600万円～900万円
ビートテック株式会社 ,東京都、神奈川県、千葉県、埼玉県、大阪府内のプロジェクト先での勤務となります。 ※プロジェクト先は…,年俸制300万円〜650万円 ※経験・能力により、優遇いたします。 ◎転職するからには、いい待遇を手にし…,300万円～650万円
株式会社ウェブクルー ,154-0024 東京都世田谷区三軒茶屋二丁目11番22号　サンタワーズセンタービル4F 【アクセ…,半期年俸制348万円〜 ※ご経験や前職年収を考慮し、決定します。 ※半期年俸制（半期ごとに人事評価を行…,348万円～500万円
FacePeer株式会社 ,★本社勤務★転勤なし！※自転車通勤用駐輪場あり 東京都港区赤坂8-5-40 ペガサス青山230 ＜…,年俸350万円〜900万円 ※経験・能力等を考慮して決定します。 ※インセンティブ制度もあり （能力によっ…,350万円～900万円
野口倉庫株式会社 ,【転勤なし！】 ◆越谷営業所：埼玉県越谷市流通団地2-1-3 ※マイカー・自転車通勤可 ※U・Iタ…,【月給】21万3000円〜27万5000円 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間2ヶ月あり(同条…,300万円～600万円
野口倉庫株式会社 ,【転勤なし！】 ◆本社営業所・倉庫／埼玉県戸田市早瀬1-24-1 ※マイカー・自転車通勤可 ※U・…,【月給】21万3000円〜27万5000円 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間2ヶ月あり(同条…,300万円～600万円
RFA digital brains株式会社 ,【転勤なし！新しいオフィスです♪】 東京メトロ副都心線「北参道駅」より徒歩2分の好アクセス！ 流行…,"◆年俸制400〜600万円 ※固定残業代（月45時間分／81,200円〜121,100円）を含む ※超過した場合は、残業…",400万円～600万円
ビートテック株式会社 ,東京都、神奈川県、千葉県、埼玉県、大阪府内のプロジェクト先での勤務となります。 ※プロジェクト先は…,年俸制300万円〜650万円 ※経験・能力により、優遇いたします。,300万円～650万円
ジェイレックス・コーポレーション株式会社 ,＜本社＞ 東京都新宿区西新宿1-23-7 新宿ファーストウエスト16F ※在宅勤務・リモートワーク…,"月給260,000円〜 ※経験・能力等を考慮して決定します。 ※試用期間6ヶ月あり（その間の待遇変動はあり…",403万円～700万円
RFA digital brains株式会社 ,※現在、週2出社、週3リモートワークを行っています。 【転勤なし！新しいオフィスです♪】 東京メト…,◆年俸制400〜600万円 ☆★経験者の方は前給を考慮します！★☆ ※12分割した金額を毎月支給いたします…,400万円～600万円
ジェイレックス・コーポレーション株式会社 ,本社／東京都新宿区西新宿1-23-7 新宿ファーストウエスト16F ※在宅勤務・リモートワーク相談可,"月給257,000円〜450,000円 ※経験・能力等を考慮して決定します。 ※試用期間6ヶ月あり（その間の待遇変…",400万円～700万円
株式会社ウェブクルー ,154-0024 東京都世田谷区三軒茶屋二丁目11番22号　サンタワーズセンタービル4F 【アクセ…,半期年俸制348万円〜 ※ご経験や前職年収を考慮し、決定します。 ※半期年俸制（半期ごとに人事評価を行…,348万円～450万円
株式会社ウェブクルー ,154-0024 東京都世田谷区三軒茶屋二丁目11番22号　サンタワーズセンタービル4F 【アクセ…,半期年俸制348万円〜 ※ご経験や前職年収を考慮し、決定します。 ※半期年俸制（半期ごとに人事評価を行…,348万円～500万円
株式会社ウェブクルー ,154-0024 東京都世田谷区三軒茶屋二丁目11番22号　サンタワーズセンタービル4F 【アクセ…,半期年俸制348万円〜 ※ご経験や前職年収を考慮し、決定します。 ※半期年俸制（半期ごとに人事評価を行…,348万円～450万円
野口倉庫株式会社 ,【転勤なし！】 ◆本社営業所・倉庫／埼玉県戸田市早瀬1-24-1 ※マイカー・自転車通勤可 ※U・…,【月給】21万3000円〜27万5000円 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間2ヶ月あり(同条…,300万円～600万円
ビートテック株式会社 ,【東京・神奈川・千葉・埼玉のプロジェクト先】 本社／東京都品川区西五反田7-20-9 KDX西五反…,月給25万円以上 ※経験・能力により、優遇いたします。,450万円～720万円
伊藤忠プラスチックス株式会社 ,本社 東京都千代田区一番町21番地 一番町東急ビル4・5・6F,"月給 31万9,000円〜42万8,000円 予定年収 600万円〜800万円 ※上記年収は月20時間の想定残業代を含みま…",600万円～800万円
株式会社韓国人蔘公社ジャパン ,【転勤なし】 東京都新宿区西新宿2-7-1 小田急第一生命ビル18F ※現在時差出勤・週3のリモー…,月給 25万円〜35万円 試用期間 3ヵ月（試用期間中の労働条件に変動なし） ※固定残業代（月／30時間分…,350万円～500万円
株式会社韓国人蔘公社ジャパン ,【転勤なし】 東京都新宿区西新宿2-7-1 小田急第一生命ビル18F ※リモートワーク相談可能,月給 24万円〜33万円 ★成果・業績に応じてインセンティブ支給 試用期間 3ヶ月 ※試用期間中の労働条件…,300万円～500万円
株式会社フェヴリナ ,《転勤なし》 福岡県福岡市中央区薬院1-1-1 薬院ビジネスガーデン8F 〜 アクセス 〜 西鉄天…,月給23万3000円~31万6000円 ※昇給：成果に応じて随時改定します！ ※年齢、経験、能力を考慮の上、優遇…,初年度年収のデータなし
アークアウトソーシング株式会社 ,【転勤なし／恵比寿駅から徒歩5分のキレイなオフィス】 本社／東京都渋谷区恵比寿1-21-3　恵比寿…,【年俸制】 ■マネージャー：720万円〜840万円＋業績賞与(毎年支給実績あり) ■シニアスタッフ：500万円…,357万円～840万円
プロテック株式会社 ,【転勤なし／地下鉄「西18丁目」駅より徒歩7分】 本社／北海道札幌市中央区北2条西18-1-5 ★…,"月給 173,500円〜 ※出退勤調整手当は別途支給 ※経験やスキルに応じて適正に決定いたします。 <試用期…",242万円～300万円
プロテック株式会社 ,【転勤なし／地下鉄「西18丁目」駅より徒歩7分】 本社／北海道札幌市中央区北2条西18-1-5 ★…,"月給 179,800〜278,613円（一律手当含む） ※出退勤調整手当は別途支給 ※経験やスキルに応じて適正に決…",266万円～413万円
株式会社ミネルヴァ ,★全国どこでも勤務可能★ *リモートワークを導入しているので、どこにいても勤務が可能です。 *満員…,月給33万円〜50万円 ※経験・能力を考慮し、当社規定により優遇致します。,初年度年収のデータなし
株式会社クロスワープ ,【転勤なし・在宅ワークも導入中】 東京都品川区上大崎3-2-9 アクア目黒3F ※「目黒駅」徒歩2分,年俸制350万円〜400万円+在宅勤務手当(月1万円)※年俸380万円以下の場合 ※経験・能力により、優遇いたし…,350万円～400万円
モトヤユナイテッド株式会社 ,【 原則転勤なし／マイカー通勤可 】 茨城県土浦市中村南4-1-20（土浦自動車学校内） ▼アクセ…,"月給制：月給30万5,000 円〜32万8,000円＋賞与年2回 ★管理職採用の場合 年俸制：5,000,400 円〜7,040,4…",460万円～704万円
株式会社ビービージーシー ,【本社】 東京都豊島区南池袋2-19-15三幸ビル2F ⇒「池袋」駅徒歩6分、「東池袋」駅徒歩5分…,"月給33万3,000円〜75万円 ※試用期間3ヶ月あり、延長最大6ヶ月あり（給与・待遇の差異はありません）。 …",400万円～900万円
株式会社アンバランス ,東京都千代田区神田神保町1-3-5 冨山房ビル4F 【アクセス】 都営地下鉄新宿線、三田線「神保町…,月給 29万円〜54万円 予定年収 350万円〜650万円 ※ご経験・スキルを考慮して決定いたします。 試用期…,350万円～650万円
モトヤユナイテッド株式会社 ,【 原則転勤なし／マイカー通勤可 】 茨城県土浦市中村南4-1-20（土浦自動車学校内） ▼アクセ…,"月給制30万5,000 円〜32万8,000円＋賞与年2回 ★管理職採用の場合 年俸制：5,000,400 円〜7,040,400 円…",460万円～704万円
株式会社RETRY ,★転勤なし！★リモート可！ 本社／東京都港区三田3-3-8　TAMA WOODY GATE MIT…,月給28万円〜34万円 ※試用期間3カ月(期間中の待遇等に変動なし) ※経験・能力等を考慮の上、優遇いたし…,400万円～500万円
株式会社ビービージーシー ,【本社】 東京都豊島区南池袋2-19-15三幸ビル2F ⇒「池袋」駅徒歩6分、「東池袋」駅徒歩5分…,月給50万円〜125万円 ※試用期間3ヶ月あり、延長最大6ヶ月あり（給与・待遇の差異はありません）。 ※経…,600万円～1500万円
株式会社NMPスペシャリスト ,東京都新宿区市谷本村町3-22 ナカバビル2階 ※転勤はありません,月給28万円〜35万円 ※経験・スキル・前職給与等を考慮して決定します。 ※試用期間3ヶ月あり（その間の…,336万円～420万円
株式会社NMPスペシャリスト ,東京都新宿区市谷本村町3-22 ナカバビル2階 ※転勤はありません,月給28万円〜40万円 ※経験・スキル・前職給与等を考慮して決定します。 ※試用期間6ヶ月あり（その間の…,350万円～550万円
株式会社NMPスペシャリスト ,東京都新宿区市谷本村町3-22 ナカバビル2階 ※転勤はありません,月給28万円〜40万円 ※経験・スキル・前職給与等を考慮して決定します。 ※試用期間6ヶ月あり（その間の…,350万円～550万円
ポーターズ株式会社 ,【在宅勤務＝通勤のストレスなし】 ★転勤なし ★ガラス張りのキレイな本社オフィスは青山一丁目駅1分…,【年俸制】600万円〜840万円 ★前職給与は最大限考慮します。 ★経験・スキル・年齢等を考慮の上、優遇し…,600万円～840万円
ロゴスウェア株式会社 ,＜流山おおたかの森オフィス＞ 千葉県流山市おおたかの森東1-5-1 おおたかの森ファーストビル4F,"月給30万5,000円〜39万円 ※経験・能力等を考慮して決定します。 ※試用期間3ヶ月あり（その間の待遇変…",450万円～600万円
Soogol Ｍanagement株式会社 ,★複数路線利用可能 ★JR御徒町駅徒歩1分！ ★転勤なし 【本社】 東京都台東区上野3-24-6…,月給25万円以上+賞与年3回 ※試用期間6ヶ月あり(給与・待遇に差異はありません) ※経験や能力を考慮し決…,330万円～500万円
ロゴスウェア株式会社 ,＜流山おおたかの森オフィス＞ 千葉県流山市おおたかの森東1-5-1 おおたかの森ファーストビル4F…,"月給24万5,000円〜32万円 ※経験・能力等を考慮して決定します。 ※試用期間3ヶ月あり（その間の待遇変…",360万円～500万円
株式会社翔泳社 ,【転勤なし／「四谷三丁目駅」徒歩4分】 本社 東京都新宿区舟町5 ※在宅勤務・リモートワーク相談可…,"月給250,000円〜400,000円 ※上記金額には固定残業手当（40,000円〜60,000円／22時間分）を含み、超過分…",450万円～600万円
株式会社ライブルベース ,本社（東京都豊島区）または23区内クライアント先 ※ネットワーク環境によってリモートワーク可 本社…,"月給275,000円〜 ※経験・能力を考慮の上、決定致します。 ※試用期間3ヶ月あり、その間の待遇に変更は…",360万円～440万円
株式会社翔泳社 ,【転勤なし／「四谷三丁目駅」徒歩4分】 本社 東京都新宿区舟町5 ※在宅勤務・リモートワーク相談可…,"月給250,000円〜400,000円 ※上記金額には固定残業手当（40,000円〜60,000円／22時間分）を含み、超過分…",450万円～600万円
株式会社インフォディオ ,東京本社での勤務となります！ 【東京本社】東京都文京区本郷2-27-20　本郷センタービル5F,◆スタッフ／年俸制350万円〜500万円（月額26万円〜） ◆マネージャー候補／年俸制500万円〜750万円（月…,350万円～750万円
フルタニ産業株式会社 ,※希望がない限り、転勤はありません！ 《 滋賀県彦根市内のクライアント先でのお仕事です 》 ★U・…,◆月給 20万円〜38万円 ※時間外手当は別途支給いたします。 ※経験・能力・年齢を考慮の上、当社規定に…,310万円～550万円
株式会社ハリーズ ,【転勤なし／UIターン歓迎】東京都渋谷区広尾1-1-20,月給30万円〜60万円+賞与年1回 ※年齢・経験・能力を考慮の上、当社規定により決定いたします。 ※試用…,400万円～800万円
株式会社愛鶏園 ,【新横浜本社】 【マイカー通勤OK】 神奈川県横浜市神奈川区菅田町2953-1 ※リモートワークの…,月給27万円〜35万円 +各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月間…,370万円～500万円
株式会社ソースポッド ,★転勤なし ★4路線利用可能！市ヶ谷駅より徒歩8分 〈本社〉 東京都新宿区四谷本塩町14-1 第2…,〈月給〉25万円以上 ※前職給与・経験・スキルなどを考慮の上、決定いたします。 ※試用期間6ヶ月あり。…,300万円～350万円
東京エレクトロンデバイス株式会社 ,【在宅勤務・リモートワークも相談可】 神奈川県横浜市神奈川区金港町1番地4 横浜イーストスクエア…,"月給20万6,000円〜42万9,000円 ※経験・年齢・能力などを考慮し、当社規定にて優遇いたします。 ※試用…",400万円～850万円
株式会社ジェーピークリエイト ,★転勤なし《芝公園駅・大門駅から徒歩圏内》 東京都港区芝2-27-8 VORT芝公園2階,月給：27万円〜+賞与2回 ※経験・スキル・前職給与を考慮の上、決定します。 ※試用期間6ヶ月あり（待遇…,400万円～600万円
株式会社SUPER STUDIO ,本社／東京都目黒区下目黒2-23-18　目黒山手通ビル8F,"月給296,740円〜406,160円 ※経験・スキル等を考慮して決定します。 ※試用期間6ヶ月あり（期間中は契約…",400万円～740万円
西武建設株式会社 ,埼玉県所沢市の〈本社〉に配属します。 ※現場は東京、埼玉、神奈川などのエリアです。 本社 埼玉県所…,【月給】27万円〜45万円 ※経験や資格を考慮し決定します ※3か月の試用期間中も同条件です ※月給には…,350万円～600万円
株式会社SUPER STUDIO ,本社／東京都目黒区下目黒2-23-18　目黒山手通ビル8F,"月給296,740円〜406,160円 ※経験・スキル等を考慮して決定します。 ※試用期間6ヶ月あり（期間中は契約…",450万円～800万円
株式会社タクマ ,《WEB面接も可》【転勤なし／在宅勤務・リモートワークの相談OK】 本社／兵庫県尼崎市金楽寺町2丁…,月給22万310円〜（一律手当含む）＋諸手当 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…,490万円～770万円
株式会社SUPER STUDIO ,本社／東京都目黒区下目黒2-23-18　目黒山手通ビル8F,"月給296,740円〜406,160円 ※経験・スキル等を考慮して決定します。 ※試用期間6ヶ月あり（期間中は契約…",400万円～740万円
株式会社SUPER STUDIO ,本社／東京都目黒区下目黒2-23-18　目黒山手通ビル8F,"月給296,740円〜406,160円 ※経験・スキル等を考慮して決定します。 ※試用期間6ヶ月あり（期間中は契約…",400万円～740万円
エリアワン株式会社 ,【マイカー通勤OK】 愛知県刈谷市大手町5-1 ⇒JR・名鉄「刈谷駅」より徒歩7分,月給25万円〜35万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月あり。待遇の…,初年度年収のデータなし
ナイル株式会社 ,【転勤なし】 東京都品川区東五反田1-24-2 東五反田1丁目ビル7階 ※「五反田駅」徒歩5分,年俸制400万円〜600万円 ※経験・能力により、優遇いたします。,400万円～600万円
北浜国際特許事務所 ,大阪府大阪市中央区高麗橋3−3−11　淀屋橋フレックスタワー5階,"年俸 360万円〜1,000万円（30万円/月〜83万円/月） ※経験やスキルを考慮して決定いたします ※試用期間…",初年度年収のデータなし
株式会社鴎来堂 ,■本社／東京都新宿区矢来町126 NITTOビル ※転勤なし ※状況に応じて、自宅からリモートワー…,"月給250,000円〜350,000円 ※年齢・経験・スキル等を考慮の上、優遇いたします。 ※最長3ヶ月の試用期間…",300万円～420万円
ブルーリッジ株式会社 ,【☆転勤なし＊UIターン歓迎＊六本木駅から徒歩5分の好アクセス☆】 〒106-0031 東京都港区…,◆月給22万円~24万円 ＋ 交通費（上限3万円/月）＋諸手当＋ 賞与(※業績による) ＊経験者の方-は前給最大…,280万円～380万円
プロンプト・Ｋ株式会社 ,◇転勤なし！ ◇UIターン歓迎！ 【 鹿児島オフィス 】 鹿児島県鹿児島市荒田1丁目4-14 丸田…,月給21万円〜36万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 《月収例》 ・技術職／35歳…,315万円～540万円
株式会社 一迅社 ,・本社勤務：新宿区 ・アクセス：各線「新宿三丁目駅」より徒歩30秒 各線「新宿駅」より徒歩5分 J…,◆月給26万円以上 ※経験・能力を考慮のうえ、優遇します。 ※試用期間6ヵ月（期間中、待遇面に変更はあ…,初年度年収のデータなし
株式会社シグナス ,■本社／京都市西京区桂野里町49-11 【アクセス】 阪急「桂」駅より徒歩5分 オフィスは、京都は…,"[四大卒]月給203,000円〜 [短大卒]月給186,000円〜 ※年齢、経験、能力を考慮の上、当社規定により優遇し…",初年度年収のデータなし
株式会社 一迅社 ,・本社勤務：新宿区 ・アクセス：各線「新宿三丁目駅」より徒歩30秒 各線「新宿駅」より徒歩5分 J…,月給：40万円以上 ※報奨金制度あり ※試用期間6ヵ月（期間中、待遇面に変更はありません）,初年度年収のデータなし
Reeracoen Philippines Inc,Makati マカティ、フィリピン,"月給８0,000ペソ〜 レート：1 フィリピン・ペソ =2.24円 ※2021年３月11日現在",初年度年収のデータなし
関西総合システム株式会社 ,各線なんば駅から直結◆雨に濡れずに通勤◆転勤なし◆大阪市浪速区湊町1丁目2番3号　マルイト難波ビル…,月給28万円〜＋諸手当＋賞与 ※前職給与・年齢・経験・スキルを考慮の上で決定 ※固定残業代として30時間…,400万円～600万円
未来貯金株式会社 ,★転勤なし ★リモートワーク可 東京都港区芝5-29-20 クロスオフィス三田 都営浅草線・三田線…,月給40万円〜＋残業代別途支給 ※経験・年齢・前職給与に応じて相談しながら決定いたします。 ※試用期間…,初年度年収のデータなし
株式会社ブラン・クリエイト ,★転勤なし ★麻布十番駅徒歩4分・赤羽橋駅徒歩3分 本社／東京都港区東麻布2-32-8 西桜ビル4…,月給40万円〜＋各種手当＋賞与年2回 ※給与は、能力やスキル、前職給与などを最大限考慮して決定します。…,500万円～1000万円
NTT西日本ビジネスフロント株式会社 ,【西日本管内の各営業所（関西／東海／北陸／中国／四国／九州）での勤務となります】 ※希望を考慮のう…,"【大阪】 月給21万7,000円+インセンティブ 【京都、奈良、滋賀、兵庫、愛知】 月給20万1,750円+インセン…",初年度年収のデータなし
株式会社エルシーアール ,《転勤なし&U・Iターン歓迎&マイカー通勤OK》 栃木県宇都宮市鶴田町351-7　ラポール館2F,"【月給】244,000円〜450,000円 ※経験・能力等を考慮し、当社規定により決定します。 ※固定残業代として…",350万円～600万円
未来貯金株式会社 ,★転勤なし ★リモートワーク可 東京都港区芝5-29-20 クロスオフィス三田 都営浅草線・三田線…,月給40万円〜＋残業代別途支給 ※経験・年齢・前職給与に応じて相談しながら決定いたします。 ※試用期間…,初年度年収のデータなし
株式会社CROSTAGE ,◎東京都港区　※現在は在宅勤務（出社頻度：月1回程度） ◎転勤なし ◎お持ちのスキル、経験、希望、…,■月給30万円〜41.7万円 ※経験や能力、スキルを考慮の上、当社規定により決定します。 ※試用期間3ヶ月…,360万円～500万円
NTT西日本ビジネスフロント株式会社 ,【西日本管内の各営業所（関西／東海／北陸／中国／四国／九州）での勤務となります】 ※希望を考慮のう…,"【大阪】 月給21万7,000円+インセンティブ 【京都、奈良、滋賀、兵庫、愛知】 月給20万1,750円+インセン…",初年度年収のデータなし
株式会社三英社製作所 ,【本社】東京都品川区荏原5-2-1 受動喫煙対策：屋内全面禁煙 ※在宅勤務・リモートワークも相談可,"月給 20万6,000円〜25万円（一律手当含む） ※経験・能力を考慮し決定いたします。 試用期間 あり（3ヶ…",320万円～400万円
株式会社グロービス ,■東京オフィス 東京都千代田区二番町5-1 住友不動産麹町ビル <アクセス> 地下鉄有楽町線「麹町…,年俸制350万円〜500万円 ※経験・能力を考慮し、規定に従い相談の上決定します。 ※半年以上在籍した方は…,350万円～500万円
株式会社グロービス ,■東京オフィス 東京都千代田区二番町5-1 住友不動産麹町ビル <アクセス> 地下鉄有楽町線「麹町…,年俸制400万円〜800万円 ※経験・能力を考慮し、規定に従い相談の上決定します。 ※半年以上在籍した方は…,400万円～800万円
株式会社グロービス ,■東京オフィス 東京都千代田区二番町5-1 住友不動産麹町ビル <アクセス> 地下鉄有楽町線「麹町…,年俸制500万円〜800万円 ※経験・能力を考慮し、規定に従い相談の上決定します。 ※半年以上在籍した方は…,500万円～800万円
株式会社イー住まい ,【U・Iターン歓迎／希望を考慮】 本店（京都市）または南店（宇治市）のいずれか。 〜詳細〜 本店／…,"月給20万5,000円〜24万5,000円 ＋ 諸手当 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…",350万円～600万円
クリエーションライン株式会社 ,【テレワーク推奨】 東京本社／東京都千代田区神田佐久間町3-6 M’s WORKS BLDG 2F…,月給37万円〜 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間6ヶ月あり（その間の待…,450万円～650万円
弥生株式会社 ,【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,"【札幌市】 年俸：3,100,000円〜4,200,000円 【大阪市】 年俸：3,400,000円〜4,500,000円 ------------…",310万円～450万円
ベリトランス株式会社 ,【転勤なし／直行直帰OK／リモートワーク勤務あり】 ■本社 東京都渋谷区恵比寿南3-5-7 デジタ…,"月給：275,000円〜350,000円 ※あなたの経験・スキル・年齢などを考慮し、当社規定により優遇します。 …",350万円～450万円
弥生株式会社 ,【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,"【札幌市】 年俸：3,100,000円〜4,200,000円 【大阪市】 年俸：3,400,000円〜4,500,000円 ------------…",310万円～450万円
弥生株式会社 ,【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,"【札幌市】 年俸：4,000,000円〜8,000,000円 【大阪市】 年俸：4,350,000円〜8,750,000円 ------------…",400万円～875万円
弥生株式会社 ,【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,"年俸：5,500,000円〜9,000,000円 ------------------------------------- ※経験・年齢を考慮して決定し…",550万円～900万円
クリエーションライン株式会社 ,【テレワーク推奨】 東京本社／東京都千代田区神田佐久間町3-6 M’s WORKS BLDG 2F…,月給30万円〜 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間6ヶ月あり（その間の待…,350万円～650万円
ベリトランス株式会社 ,【転勤なし／直行直帰OK／リモートワーク勤務あり】 ■本社 東京都渋谷区恵比寿南3-5-7 デジタ…,年俸制：350〜450万円 ※あなたの経験・スキル・年齢などを考慮し、当社規定により優遇します。 ※試用…,350万円～450万円
ウエストユニティス株式会社 ,大阪府大阪市北区大深町4-20 グランフロント大阪 タワーA29F ＜アクセス＞ 各線「大阪」駅か…,月給40万円〜60万円 ※経験やスキルを考慮して決定いたします ※試用期間3ヵ月（同条件） ＜想定年収＞ …,500万円～700万円
ワイジェイFX株式会社 ,本社／東京都千代田区紀尾井町1-3　東京ガーデンテラス紀尾井町　紀尾井タワー23階 《アクセス》…,年俸400万円〜1200万円 ※経験・能力・前職給与を考慮の上、当社規程により優遇 ※試用期間3ヵ月（給与・…,400万円～1200万円
株式会社ヴィンクス ,大阪・東京・千葉で大募集！ ▼本社 ※小売業界の基幹システム、POSシステム、人事系システム 大阪…,月給24万円〜51万5000円＋賞与年2回（昨年実績4.2ヶ月分） ※経験・スキルにより金額を決定。 試用期間：…,390万円～800万円
東京エレクトロンデバイス株式会社 ,新宿オフィス／東京都新宿区西新宿3-7-1　新宿パークタワー S34階 【アクセス】 京王新線「初…,"月給20万6,000 円〜42万9,000円 ※経験・年齢・能力などを考慮し、当社規定にて優遇いたします。 ※試用…",400万円～850万円
